,Source,VIN,Entity,Date Delivered,Manufacturer,Segment,Fuel Type,GVWR,Funding Total,Air District,County,DAC?,Address,Latitude,Longitude
0,HVIP,52UJTE1F0AP900391,BCI Coca-Cola Bottling Co. of Los Angeles,2011-06-06 00:00:00,Navistar,Step Van,ZEV,"10,001 - 14,000",30000.0,Bay Area,Solano,Yes,"530 Getty Court Benicia, CA 94510",38.0782283,-122.1291016
1,HVIP,52UJTE1F2AP900392 ,BCI Coca-Cola Bottling Co. of Los Angeles,2011-06-03 00:00:00,Navistar,Step Van,ZEV,"10,001 - 14,000",30000.0,South Coast,Orange,Yes,"700 West Grove Street Orange, CA 92865",33.8204905,-117.8586593
2,HVIP,52UJTE1F6AP900394,BCI Coca-Cola Bottling Co. of Los Angeles,2011-06-03 00:00:00,Navistar,Step Van,ZEV,"10,001 - 14,000",30000.0,South Coast,Los Angeles,Yes,"1334 S. Central Avenue Los Angeles, CA 90021",34.0287162,-118.2451689
3,HVIP,52UJTE1F6AP900329,New Bern Transport Corporation,2011-05-04 00:00:00,Navistar,Step Van,ZEV,"10,001 - 14,000",25000.0,Bay Area,Santa Clara,Yes,"960 Kifer Road Sunnyvale, CA 94086",37.3730736,-122.0054968
4,HVIP,4S9CH6A35AK197115,"Rolling Frito Lay Sales, LP",2011-04-15 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",20000.0,South Coast,Los Angeles,No,"1500 Francisco Street Torrance, CA 90510",33.8487835,-118.304273
5,HVIP,4S9CH6A37AK197116,"Rolling Frito Lay Sales, LP",2011-04-15 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,South Coast,Los Angeles,No,"1500 Francisco Street Torrance, CA 90510",33.8487835,-118.304273
6,HVIP,4S9CH6A31AK197127,"Rolling Frito Lay Sales, LP",2011-04-28 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",20000.0,South Coast,Los Angeles,No,"1500 Francisco Street Torrance, CA 90510",33.8487835,-118.304273
7,HVIP,4S9CH6A35AK197129,"Rolling Frito Lay Sales, LP",2011-05-13 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,South Coast,Los Angeles,No,"1500 Francisco Street Torrance, CA 90510",33.8487835,-118.304273
8,HVIP,4S9CH6A37AK197147,"Rolling Frito Lay Sales, LP",2011-05-31 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,Bay Area,Santa Clara,Yes,"1774 Automation Pkwy San Jose, CA 95131",37.3956423,-121.8850394
9,HVIP,4S9CH6A39AK197148,"Rolling Frito Lay Sales, LP",2011-05-31 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,Bay Area,Santa Clara,Yes,"1774 Automation Pkwy San Jose, CA 95131",37.3956423,-121.8850394
10,HVIP,4S9CH6A30AK197149,"Rolling Frito Lay Sales, LP",2011-06-17 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,Bay Area,Santa Clara,Yes,"1774 Automation Pkwy San Jose, CA 95131",37.3956423,-121.8850394
11,HVIP,4S9CH6A37AK197150,"Rolling Frito Lay Sales, LP",2011-06-17 00:00:00,Smith Electric Vehicles,Delivery Truck,ZEV,"19,501 - 26,000",45000.0,Bay Area,Santa Clara,Yes,"1774 Automation Pkwy San Jose, CA 95131",37.3956423,-121.8850394
