,Source,VIN,Entity,Date Delivered,Manufacturer,Segment,Fuel Type,GVWR,Funding Total,Air District,County,DAC?,Address,Latitude,Longitude
0,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS1HDC74352,Sacramento City Unified School District,1/1/2017,Trans Tech/Ford/Motiv,School Bus,EV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
1,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS6HDC73178,Sacramento City Unified School District,1/1/2017,Trans Tech/Ford/Motiv,School Bus,EV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
2,Sacramento Regional ZE School Bus Deployment Project,1FDFE4FS4HDC73180,Sacramento City Unified School District,1/1/2017,Trans Tech/Ford/Motiv,School Bus,EV,"14,001 - 19,500","$181,631.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
3,Sacramento Regional ZE School Bus Deployment Project,2A9CP2112LJ198427,Sacramento City Unified School District,1/1/2020,eLion,School Bus,EV,"14,001 - 19,500","$324,616.00 ",Sacramento Metropolitan,Sacramento,Yes,"3101 Redding Avenue Sacramento, CA 95820",,
4,Sacramento Regional ZE School Bus Deployment Project,2A9SP212XHJ198140,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
5,Sacramento Regional ZE School Bus Deployment Project,2A9SP2121HJ198141,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
6,Sacramento Regional ZE School Bus Deployment Project,2A9SP2122HJ198116,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
7,Sacramento Regional ZE School Bus Deployment Project,2A9SP2124HJ198117,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$276,150.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
8,Sacramento Regional ZE School Bus Deployment Project,2A9SP2128HJ198119,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
9,Sacramento Regional ZE School Bus Deployment Project,2A9SP2126HJ198118,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
10,Sacramento Regional ZE School Bus Deployment Project,2A9SP2124HJ198120,Twin Rivers Unified School District,1/1/2017,eLion,School Bus,EV,"14,001 - 19,500","$280,209.00 ",Sacramento Metropolitan,Sacramento,Yes,"1400 B Grand Avenue Sacramento, CA 95838",,
